client_id,birth_number,district_id,gender,age,age_levels
1,701213,18,FEMALE,29,ADULT
2,450204,1,MALE,54,MIDDLE AGED
3,401009,1,FEMALE,59,MIDDLE AGED
4,561201,5,MALE,43,MIDDLE AGED
5,600703,5,FEMALE,39,MIDDLE AGED
6,190922,12,MALE,80,SENIOR
7,290125,15,MALE,70,SENIOR
8,380221,51,FEMALE,61,MIDDLE AGED
9,351016,60,MALE,64,MIDDLE AGED
10,430501,57,MALE,56,MIDDLE AGED
11,500822,57,FEMALE,49,MIDDLE AGED
12,810220,40,MALE,18,YOUTH
13,740529,54,FEMALE,25,ADULT
14,420622,76,FEMALE,57,MIDDLE AGED
15,180828,21,FEMALE,81,SENIOR
16,190225,21,MALE,80,SENIOR
17,341013,76,MALE,65,SENIOR
18,310405,76,FEMALE,68,SENIOR
19,421228,47,MALE,57,MIDDLE AGED
20,790104,46,MALE,20,YOUTH
21,521029,12,FEMALE,47,MIDDLE AGED
22,691011,1,FEMALE,30,ADULT
23,730529,1,MALE,26,ADULT
24,390729,43,FEMALE,60,MIDDLE AGED
25,390423,21,FEMALE,60,MIDDLE AGED
26,690420,74,FEMALE,30,ADULT
27,660326,54,FEMALE,33,ADULT
28,450929,1,MALE,54,MIDDLE AGED
29,510911,30,FEMALE,48,MIDDLE AGED
30,571009,74,FEMALE,42,MIDDLE AGED
31,620209,68,MALE,37,MIDDLE AGED
32,800728,52,MALE,19,YOUTH
33,481204,73,FEMALE,51,MIDDLE AGED
36,780717,7,FEMALE,21,YOUTH
37,700810,7,MALE,29,ADULT
38,730723,36,FEMALE,26,ADULT
39,680125,68,MALE,31,ADULT
40,570122,5,FEMALE,42,MIDDLE AGED
41,680827,22,MALE,31,ADULT
42,350817,68,MALE,64,MIDDLE AGED
43,201028,75,MALE,79,SENIOR
44,770111,38,FEMALE,22,YOUTH
45,520826,20,MALE,47,MIDDLE AGED
46,400130,19,FEMALE,59,MIDDLE AGED
47,340714,76,MALE,65,SENIOR
48,400209,16,MALE,59,MIDDLE AGED
49,590511,72,FEMALE,40,MIDDLE AGED
50,780730,39,FEMALE,21,YOUTH
51,791202,36,FEMALE,20,YOUTH
52,241212,32,MALE,75,SENIOR
53,770505,64,MALE,22,YOUTH
55,480918,45,FEMALE,51,MIDDLE AGED
56,600331,21,MALE,39,MIDDLE AGED
57,611217,21,FEMALE,38,MIDDLE AGED
58,270429,1,FEMALE,72,SENIOR
59,570218,1,MALE,42,MIDDLE AGED
60,800219,67,MALE,19,YOUTH
61,480806,16,FEMALE,51,MIDDLE AGED
62,321208,77,MALE,67,SENIOR
63,590604,4,MALE,40,MIDDLE AGED
64,260422,20,MALE,73,SENIOR
65,430527,50,FEMALE,56,MIDDLE AGED
66,511110,1,FEMALE,48,MIDDLE AGED
67,321111,29,FEMALE,67,SENIOR
68,461214,43,MALE,53,MIDDLE AGED
70,251222,70,MALE,74,SENIOR
71,270206,70,FEMALE,72,SENIOR
72,230113,47,MALE,76,SENIOR
73,240220,22,MALE,75,SENIOR
74,250726,22,FEMALE,74,SENIOR
75,770919,64,FEMALE,22,YOUTH
76,671001,36,FEMALE,32,ADULT
77,560218,1,FEMALE,43,MIDDLE AGED
78,440613,16,FEMALE,55,MIDDLE AGED
79,690310,37,FEMALE,30,ADULT
80,790225,64,FEMALE,20,YOUTH
81,760429,8,MALE,23,YOUTH
82,791225,8,FEMALE,20,YOUTH
83,781225,1,FEMALE,21,YOUTH
84,790505,1,MALE,20,YOUTH
85,610827,1,MALE,38,MIDDLE AGED
86,690720,1,FEMALE,30,ADULT
87,461117,72,FEMALE,53,MIDDLE AGED
89,510505,1,FEMALE,48,MIDDLE AGED
90,750817,52,MALE,24,YOUTH
91,400807,63,MALE,59,MIDDLE AGED
92,660612,74,FEMALE,33,ADULT
93,250216,3,MALE,74,SENIOR
94,470909,43,MALE,52,MIDDLE AGED
95,520803,43,FEMALE,47,MIDDLE AGED
96,720229,74,MALE,27,ADULT
